5,60,68,131,182,60,133,156
5,19,50,113,139,78,114,138
5,47,78,141,177,70,140,179
5,42,67,131,140,79,97,143
5,36,52,114,96,66,84,99
5,33,67,130,120,52,83,120
5,57,69,133,170,70,111,130
5,64,66,130,183,85,132,174
5,65,70,134,141,78,89,137
5,54,70,134,179,78,132,167
5,47,62,125,195,81,161,182
5,52,76,138,176,81,131,169
5,53,71,134,205,86,165,187
5,38,49,112,185,85,209,181
5,37,51,114,98,77,82,102
5,46,50,112,78,81,78,85
5,46,45,107,90,86,89,94
5,67,66,129,199,81,146,165
5,59,75,138,129,79,84,134
5,70,75,138,204,73,144,173
