6,185,209,230,183,36,31,31
6,126,182,216,181,31,35,56
6,195,187,218,222,37,35,46
6,179,187,218,206,27,38,42
6,141,186,217,190,22,35,60
6,151,228,241,226,22,34,57
6,167,179,214,170,20,34,37
6,166,206,229,229,20,39,58
6,199,184,216,216,0,39,36
6,146,169,207,170,20,38,38
6,156,212,232,219,5,38,53
6,206,173,210,207,36,36,31
6,162,184,216,207,30,35,41
6,192,149,194,193,50,41,41
6,201,162,203,174,42,35,33
6,141,172,209,169,10,36,43
6,184,229,242,211,32,33,49
6,209,211,232,188,19,32,32
6,167,177,212,190,48,35,49
6,190,215,234,202,20,33,40
