4,47,77,140,171,120,81,115
4,60,83,145,162,95,61,91
4,39,110,167,156,28,47,62
4,20,136,186,181,31,52,86
4,65,55,118,141,104,70,88
4,23,67,131,176,81,88,119
4,38,73,136,129,79,49,62
4,79,101,160,134,71,39,60
4,88,76,139,137,91,42,52
4,0,59,122,165,70,85,98
4,59,68,131,155,87,62,83
4,27,107,165,193,27,64,95
4,74,71,134,137,79,50,66
4,43,39,99,130,149,73,108
4,72,137,187,172,28,43,43
4,38,117,173,179,42,45,67
4,87,88,150,152,62,46,44
4,44,46,108,77,155,7,46
4,20,64,127,155,143,94,149
4,46,73,136,176,101,82,116
